Scenario_Key,Scenario_Label,Interval_ms,Similarity_Score,Status,Threshold
baseline,Baseline,0,0.983405,Pass,0.5
baseline,Baseline,20,0.983405,Pass,0.5
baseline,Baseline,40,0.983405,Pass,0.5
baseline,Baseline,60,0.983405,Pass,0.5
baseline,Baseline,80,0.983405,Pass,0.5
baseline,Baseline,100,0.983405,Pass,0.5
baseline,Baseline,120,0.983405,Pass,0.5
baseline,Baseline,140,0.983405,Pass,0.5
baseline,Baseline,160,0.983405,Pass,0.5
baseline,Baseline,180,0.983405,Pass,0.5
baseline,Baseline,200,0.983405,Pass,0.5
baseline,Baseline,220,0.983405,Pass,0.5
baseline,Baseline,240,0.983405,Pass,0.5
baseline,Baseline,260,0.983405,Pass,0.5
baseline,Baseline,280,0.983405,Pass,0.5
baseline,Baseline,300,0.983405,Pass,0.5
baseline,Baseline,320,0.983405,Pass,0.5
baseline,Baseline,340,0.983405,Pass,0.5
baseline,Baseline,360,0.983405,Pass,0.5
baseline,Baseline,380,0.983405,Pass,0.5
baseline,Baseline,400,0.983405,Pass,0.5
baseline,Baseline,420,0.983405,Pass,0.5
baseline,Baseline,440,0.983405,Pass,0.5
baseline,Baseline,460,0.983405,Pass,0.5
baseline,Baseline,480,0.983405,Pass,0.5
baseline,Baseline,500,0.983405,Pass,0.5
baseline,Baseline,520,0.983405,Pass,0.5
baseline,Baseline,540,0.983405,Pass,0.5
baseline,Baseline,560,0.983405,Pass,0.5
baseline,Baseline,580,0.983405,Pass,0.5
baseline,Baseline,600,0.983405,Pass,0.5
baseline,Baseline,620,0.983405,Pass,0.5
baseline,Baseline,640,0.983405,Pass,0.5
baseline,Baseline,660,0.983405,Pass,0.5
baseline,Baseline,680,0.983405,Pass,0.5
baseline,Baseline,700,0.983405,Pass,0.5
baseline,Baseline,720,0.983405,Pass,0.5
baseline,Baseline,740,0.983405,Pass,0.5
baseline,Baseline,760,0.983405,Pass,0.5
baseline,Baseline,780,0.983405,Pass,0.5
baseline,Baseline,800,0.983405,Pass,0.5
baseline,Baseline,820,0.983405,Pass,0.5
baseline,Baseline,840,0.983405,Pass,0.5
baseline,Baseline,860,0.983405,Pass,0.5
baseline,Baseline,880,0.983405,Pass,0.5
baseline,Baseline,900,0.983405,Pass,0.5
baseline,Baseline,920,0.983405,Pass,0.5
baseline,Baseline,940,0.983405,Pass,0.5
baseline,Baseline,960,0.983405,Pass,0.5
baseline,Baseline,980,0.983405,Pass,0.5
baseline,Baseline,1000,0.983405,Pass,0.5
constrained,Constrained,0,0.983405,Pass,0.5
constrained,Constrained,20,0.983405,Pass,0.5
constrained,Constrained,40,0.983405,Pass,0.5
constrained,Constrained,60,0.983405,Pass,0.5
constrained,Constrained,80,0.983405,Pass,0.5
constrained,Constrained,100,0.983405,Pass,0.5
constrained,Constrained,120,0.983405,Pass,0.5
constrained,Constrained,140,0.983405,Pass,0.5
constrained,Constrained,160,0.983405,Pass,0.5
constrained,Constrained,180,0.983405,Pass,0.5
constrained,Constrained,200,0.983405,Pass,0.5
constrained,Constrained,220,0.983405,Pass,0.5
constrained,Constrained,240,0.983405,Pass,0.5
constrained,Constrained,260,0.983405,Pass,0.5
constrained,Constrained,280,0.983405,Pass,0.5
constrained,Constrained,300,0.983405,Pass,0.5
constrained,Constrained,320,0.983405,Pass,0.5
constrained,Constrained,340,0.983405,Pass,0.5
constrained,Constrained,360,0.983405,Pass,0.5
constrained,Constrained,380,0.983405,Pass,0.5
constrained,Constrained,400,0.983405,Pass,0.5
constrained,Constrained,420,0.983405,Pass,0.5
constrained,Constrained,440,0.983405,Pass,0.5
constrained,Constrained,460,0.983405,Pass,0.5
constrained,Constrained,480,0.983405,Pass,0.5
constrained,Constrained,500,0.983405,Pass,0.5
constrained,Constrained,520,0.983405,Pass,0.5
constrained,Constrained,540,0.983405,Pass,0.5
constrained,Constrained,560,0.983405,Pass,0.5
constrained,Constrained,580,0.983405,Pass,0.5
constrained,Constrained,600,0.983405,Pass,0.5
constrained,Constrained,620,0.983405,Pass,0.5
constrained,Constrained,640,0.983405,Pass,0.5
constrained,Constrained,660,0.983405,Pass,0.5
constrained,Constrained,680,0.983405,Pass,0.5
constrained,Constrained,700,0.983405,Pass,0.5
constrained,Constrained,720,0.983405,Pass,0.5
constrained,Constrained,740,0.983405,Pass,0.5
constrained,Constrained,760,0.983405,Pass,0.5
constrained,Constrained,780,0.983405,Pass,0.5
constrained,Constrained,800,0.983405,Pass,0.5
constrained,Constrained,820,0.983405,Pass,0.5
constrained,Constrained,840,0.983405,Pass,0.5
constrained,Constrained,860,0.983405,Pass,0.5
constrained,Constrained,880,0.983405,Pass,0.5
constrained,Constrained,900,0.983405,Pass,0.5
constrained,Constrained,920,0.983405,Pass,0.5
constrained,Constrained,940,0.983405,Pass,0.5
constrained,Constrained,960,0.983405,Pass,0.5
constrained,Constrained,980,0.983405,Pass,0.5
constrained,Constrained,1000,0.983405,Pass,0.5
model,Model,0,0.983405,Pass,0.5
model,Model,20,0.983405,Pass,0.5
model,Model,40,0.983405,Pass,0.5
model,Model,60,0.983405,Pass,0.5
model,Model,80,0.983405,Pass,0.5
model,Model,100,0.983405,Pass,0.5
model,Model,120,0.983405,Pass,0.5
model,Model,140,0.983405,Pass,0.5
model,Model,160,0.983405,Pass,0.5
model,Model,180,0.983405,Pass,0.5
model,Model,200,0.983405,Pass,0.5
model,Model,220,0.983405,Pass,0.5
model,Model,240,0.983405,Pass,0.5
model,Model,260,0.983405,Pass,0.5
model,Model,280,0.983405,Pass,0.5
model,Model,300,0.983405,Pass,0.5
model,Model,320,0.983405,Pass,0.5
model,Model,340,0.983405,Pass,0.5
model,Model,360,0.983405,Pass,0.5
model,Model,380,0.983405,Pass,0.5
model,Model,400,0.983405,Pass,0.5
model,Model,420,0.983405,Pass,0.5
