Interval,Similarity_Score,Status
0,0.064381,Fail
20,0.064381,Fail
40,0.064381,Fail
60,0.983405,Pass
80,0.983405,Pass
100,0.983405,Pass
120,0.983405,Pass
140,0.983405,Pass
160,0.983405,Pass
180,0.983405,Pass
200,0.983405,Pass
220,0.983405,Pass
240,0.983405,Pass
260,0.983405,Pass
280,0.983405,Pass
300,0.983405,Pass
320,0.983405,Pass
340,0.983405,Pass
360,0.983405,Pass
380,0.983405,Pass
400,0.983405,Pass
420,0.983405,Pass
440,0.983405,Pass
460,0.983405,Pass
480,0.983405,Pass
500,0.983405,Pass
520,0.983405,Pass
540,0.983405,Pass
560,0.983405,Pass
580,0.983405,Pass
600,0.983405,Pass
620,0.983405,Pass
640,0.983405,Pass
660,0.983405,Pass
680,0.983405,Pass
700,0.983405,Pass
720,0.983405,Pass
740,0.983405,Pass
760,0.983405,Pass
780,0.983405,Pass
800,0.983405,Pass
820,0.983405,Pass
840,0.983405,Pass
860,0.983405,Pass
880,0.983405,Pass
900,0.983405,Pass
920,0.983405,Pass
940,0.983405,Pass
960,0.983405,Pass
980,0.983405,Pass
1000,0.983405,Pass
